DevType,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSat
Data scientist or machine learning specialist,10200000.0,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,C#;Rust,MongoDB;MySQL;SQLite,Elasticsearch;PostgreSQL,Microsoft Azure,Amazon Web Services (AWS);Google Cloud,Angular;AngularJS;Express;FastAPI;Flask;jQuery;Node.js,Django,CMake,,Apache Kafka;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,CUDA;TensorFlow;Torch/PyTorch,Docker;Homebrew;Pip,Docker,DevOps function;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (free),Software Development,10.0
Data scientist or machine learning specialist,127500000.0,JavaScript;Python;SQL;TypeScript,Go;JavaScript;Python;Rust;SQL;TypeScript,PostgreSQL;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Netlify;Vercel,Amazon Web Services (AWS);Cloudflare;Google Cloud,Next.js;React;Vue.js,Svelte;Vue.js,,,NumPy;Pandas;Scikit-Learn;Torch/PyTorch,NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Ansible;Make;Vite,Vite,Developer portal or other central places to find tools/services,On-prem,AI-powered search (paid),Computer Systems Design and Services,10.0
Engineering manager,214914000.0,C#;HTML/CSS;Java;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,Oracle;PostgreSQL,PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),React,React,,,,,Gradle;Maven (build tool),Gradle;Maven (build tool),,Hybrid (on-prem and cloud),Traditional public search engine,Retail and Consumer Services,7.0
"Developer, full-stack",267150000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;MongoDB;PostgreSQL,Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Angular;ASP.NET CORE;React,Angular;ASP.NET CORE;Htmx;jQuery;React,,,.NET (5+);RabbitMQ;React Native,.NET (5+);Flutter;RabbitMQ;React Native,Chocolatey;Docker;Visual Studio Solution;Yarn,Docker;Visual Studio Solution,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Healthcare,5.0
"Developer, full-stack",111000000.0,Java;JavaScript;Python,Java;JavaScript;Python,MongoDB,MongoDB,,,Node.js;React,Angular;Node.js;React,,,,,Chocolatey;Docker;Gradle;Maven (build tool);Pip,Docker;Gradle;Pip,None of these,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,3.0
"Developer, back-end",232900000.0,Bash/Shell (all shells);JavaScript;TypeScript,Bash/Shell (all shells);Elixir;Rust;Zig,Elasticsearch;PostgreSQL,Elasticsearch;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Express;Node.js,,,,,,Ansible;Docker;Homebrew;Kubernetes;Make,Ansible;Make,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,,8.0
Academic researcher,40500000.0,C++;Rust,Rust,,,,,,,CMake;Cargo;GNU GCC,Cargo;GNU GCC,,CUDA,,,Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,On-prem,AI-powered search (free),Higher Education,10.0
"Developer, full-stack",93000000.0,Bash/Shell (all shells);C#;Dart;JavaScript;Python;Rust;TypeScript,Bash/Shell (all shells);C;Rust;TypeScript,Dynamodb;PostgreSQL;Redis;SQLite,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud;Netlify,,Express;NestJS;Next.js;Node.js;React,NestJS;Vue.js,,,Flutter;React Native,,Docker;Kubernetes;npm;Vite;Webpack;Yarn,Docker;Godot;pnpm;Terraform;Vite,DevOps function;Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Healthcare,7.0
"Developer, full-stack",120000000.0,,,,,,,,,,,,,MSBuild,MSBuild,Automated testing;Continuous integration (CI) and (more often) continuous delivery,On-prem,Traditional public search engine,,7.0
"Developer, front-end",166600000.0,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,,,Netlify,,Express;React,React,,,,,Homebrew;npm;Vite;Webpack;Yarn,npm;Vite;Yarn,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,7.0
"Developer, embedded applications or devices",68500000.0,C++;Rust,C++;Rust,,,,,,,CMake;Cargo;GNU GCC;LLVM's Clang,CMake;Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,,,Docker,Godot,Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,On-prem,Traditional public search engine,Software Development,8.0
"Developer, full-stack",116450000.0,Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;PowerShell;SQL,Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;PowerShell;SQL,Microsoft SQL Server,Microsoft SQL Server,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud,ASP.NET;Node.js,ASP.NET;Node.js,,,.NET Framework (1.0 - 4.8),,Chocolatey;MSBuild;npm;NuGet;Pip;Visual Studio Solution,MSBuild;npm;NuGet;Pip;Visual Studio Solution,None of these,Hybrid (on-prem and cloud),A coworker,Retail and Consumer Services,8.0
"Developer, full-stack",219200000.0,C#;Go;HTML/CSS;JavaScript;SQL;TypeScript,Go;SQL,MariaDB;Microsoft SQL Server;PostgreSQL,MariaDB;Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Google Cloud,Angular;ASP.NET CORE,Angular,,,Flutter,Flutter,Gradle,,Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,7.0
"Developer, mobile",195500000.0,HTML/CSS;Java;JavaScript;Kotlin;SQL,HTML/CSS;Java;JavaScript;Kotlin;SQL,MySQL;SQLite,SQLite,Cloudflare;Firebase;Google Cloud;Vercel,Cloudflare;Firebase;Google Cloud,Next.js;WordPress,Next.js,,,,,Gradle,Gradle,Automated testing,Cloud only (single or multi-cloud),Slack search,Software Development,9.0
"Developer, full-stack",97500000.0,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Go;HTML/CSS;JavaScript;Rust;SQL;TypeScript,MariaDB;MongoDB;PostgreSQL;SQLite,MariaDB;MongoDB;PostgreSQL;Redis;SQLite,,,Angular;FastAPI;Flask,Angular;Htmx;React;Svelte;Vue.js,,,,,APT;Docker;Make;npm;Vite,APT;Bun;Docker;Kubernetes;npm;Vite,Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,6.0
"Developer, full-stack",157550000.0,C#;JavaScript;Python;SQL,,Microsoft SQL Server,,Amazon Web Services (AWS),,AngularJS;ASP.NET CORE,,,,.NET Framework (1.0 - 4.8),,Visual Studio Solution,,DevOps function,Hybrid (on-prem and cloud),Traditional public search engine,,6.0
"Developer, full-stack",90000000.0,C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,HTML/CSS;JavaScript;PHP;SQL,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS),Firebase,ASP.NET;ASP.NET CORE;jQuery;Node.js;React;WordPress,,,,,,npm;NuGet,,Microservices,Hybrid (on-prem and cloud),AI-powered search (free),Software Development,7.0
"Developer, back-end",411000000.0,Bash/Shell (all shells);C;C++;Go,Bash/Shell (all shells);C;C++;Go;Java;Rust,SQLite,,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Google Cloud,,,,,,,Docker;Homebrew;Make,Docker;Homebrew,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Software Development,1.0
"Developer, back-end",72000000.0,C;HTML/CSS;JavaScript;Python,C;Python;Rust,,,Amazon Web Services (AWS),,React,,GNU GCC,GNU GCC,,,Ansible;Docker;Make;Pip,Ansible;Docker;Make;Pip,Automated testing;Knowledge sharing community;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Software Development,3.0
"Developer, back-end",76500000.0,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,C#;Kotlin,Microsoft SQL Server;MongoDB;Redis;SQLite,Microsoft SQL Server,Microsoft Azure,Firebase;Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery,React,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),MSBuild;NuGet;Visual Studio Solution,MSBuild;NuGet;Visual Studio Solution,Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,On-prem,Traditional public search engine,Software Development,2.0
"Developer, game or graphics",350000000.0,C#;C++;Rust,C++;Rust,SQLite,SQLite,Microsoft Azure,Cloudflare;Microsoft Azure,,,,,.NET (5+),.NET (5+),,,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),AI-powered search (paid),Software Development,7.0
"Developer, embedded applications or devices",39000000.0,C;Python,C;Python,,,,,,,,,,,,,None of these,Hybrid (on-prem and cloud),A coworker,Software Development,4.0
"Developer, front-end",54000000.0,HTML/CSS;JavaScript;SQL;TypeScript,Elixir;HTML/CSS;Rust;SQL,Dynamodb;PostgreSQL,PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud,,Express;Node.js;React,Express;Htmx,,,,,Docker;Homebrew;npm;Vite,Docker;Homebrew,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),A coworker,Manufacturing,5.0
"Developer, full-stack",270000000.0,Go;HTML/CSS;Java;JavaScript;SQL;TypeScript,HTML/CSS;Java;JavaScript;Kotlin;SQL;Swift;TypeScript,PostgreSQL,Elasticsearch;PostgreSQL;SQLite,,,React;Spring Boot,Next.js;React,,,React Native,Flutter;React Native,Gradle;Maven (build tool);npm,Docker;Gradle;Maven (build tool);npm;Yarn,DevOps function;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,On-prem,AI-powered search (free),Software Development,4.0
"Developer, back-end",274000000.0,C;C++;SQL,C;C++;Rust;SQL,,,,,,,,,,,Make,Make,Automated testing,Hybrid (on-prem and cloud),Other:,Software Development,8.0
"Developer, full-stack",127410000.0,Bash/Shell (all shells);Java;JavaScript;TypeScript,JavaScript;Python;TypeScript,MongoDB,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Express;Node.js;Spring Boot,Express;Node.js;React,,,React Native,React Native,Ansible;Chocolatey;Docker;Homebrew;Maven (build tool);npm;Terraform;Yarn,Docker;Terraform;Vite;Yarn,DevOps function;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Internal Developer portal,"Internet, Telecomm or Information Services",8.0
"Developer, front-end",90000000.0,HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,PostgreSQL,PostgreSQL,Firebase,Firebase,React,Express;NestJS;Next.js;React;Svelte,,,,,npm;Webpack;Yarn,Bun;Docker;Homebrew;Kubernetes;npm;pnpm;Vite;Yarn,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,On-prem,A coworker,"Internet, Telecomm or Information Services",8.0
"Developer, front-end",202500000.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;TypeScript,,,Amazon Web Services (AWS),,Express;Next.js;Node.js;React,Express;Next.js;Node.js;React;Svelte,,,Apache Kafka,,Docker;Homebrew;npm;Vite;Webpack;Yarn,Docker;Homebrew;npm;Vite;Webpack;Yarn,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),AI-powered search (free),"Transportation, or Supply Chain",9.0
"Developer, full-stack",82500000.0,HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS;JavaScript;TypeScript,Elasticsearch;MariaDB;MySQL,Elasticsearch;MariaDB;MongoDB;MySQL,Digital Ocean,Digital Ocean;Vercel,Next.js;Node.js;React;WordPress,Next.js;Node.js;React,,,,,Composer;Homebrew;npm;pnpm;Webpack,Composer;Homebrew;npm;pnpm;Webpack,Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Retail and Consumer Services,7.0
"Developer, full-stack",165000000.0,HTML/CSS;Java;JavaScript;SQL;TypeScript,HTML/CSS;Java;JavaScript;Kotlin;Rust;SQL;Swift;TypeScript,Microsoft SQL Server,Microsoft SQL Server;PostgreSQL,Microsoft Azure,Microsoft Azure,React;Spring Boot,React;Spring Boot;Svelte,,,Spring Framework,Apache Kafka;Spring Framework,Homebrew;Maven (build tool);npm;Webpack,Gradle;Homebrew;Maven (build tool);npm;Podman;Vite,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Microsoft Teams search,Healthcare,6.0
Academic researcher,137000000.0,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Python,Bash/Shell (all shells);C;C++;JavaScript;Python;Rust;Zig,MongoDB;PostgreSQL;SQLite,PostgreSQL;SQLite,Cloudflare;Google Cloud,Google Cloud,Django;Flask;jQuery;Node.js;Vue.js,Flask,CMake;GNU GCC;LLVM's Clang,CMake;GNU GCC;LLVM's Clang;Rasberry Pi,NumPy;Pandas;Scikit-Learn,NumPy;Scikit-Learn;Torch/PyTorch,Docker;Make;npm,Make,DevOps function;Automated testing;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,,7.0
"Developer, full-stack",139740000.0,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;jQuery,Angular;ASP.NET;ASP.NET CORE;jQuery,,,.NET Framework (1.0 - 4.8),.NET (5+),Visual Studio Solution,Visual Studio Solution,AI-assisted technology tool(s),Hybrid (on-prem and cloud),Traditional public search engine,Government,0.0
"Developer, back-end",890500.0,C#;JavaScript,C#;Go;Rust,Microsoft SQL Server;MongoDB;PostgreSQL,MongoDB;PostgreSQL,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,ASP.NET;ASP.NET CORE;FastAPI,ASP.NET;ASP.NET CORE;Blazor;React,,,.NET (5+);RabbitMQ,.NET (5+);RabbitMQ,Docker;NuGet,Docker;Kubernetes;MSBuild;NuGet,DevOps function;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,9.0
"Developer, embedded applications or devices",67500000.0,Bash/Shell (all shells);C;C++;Python,Bash/Shell (all shells);C;C++;Python,,,,,,,GNU GCC;Rasberry Pi,CMake;GNU GCC,,,Make,Make,DevOps function;Automated testing;Microservices,Hybrid (on-prem and cloud),Traditional public search engine,Manufacturing,7.0
