DevType,CompTotal,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,EmbeddedHaveWorkedWith,MiscTechHaveWorkedWith,Industry
Data scientist or machine learning specialist,10200000.0,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,MongoDB;MySQL;SQLite,Microsoft Azure;VMware,Angular;AngularJS;Express;FastAPI;Flask;jQuery;Node.js,CMake,Apache Kafka;Apache Spark;CUDA;Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Software Development
Academic researcher,42000000.0,C;C++;MATLAB;Python;SQL,PostgreSQL,,,Arduino;Rasberry Pi,NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,
Data scientist or machine learning specialist,127500000.0,JavaScript;Python;SQL;TypeScript,PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Hetzner;Netlify;Vercel,Next.js;React;Vue.js,,NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Computer Systems Design and Services
"Developer, back-end",75000000.0,Python,BigQuery;MongoDB;PostgreSQL;Snowflake,Amazon Web Services (AWS);Google Cloud,Django,Arduino,Hugging Face Transformers;RabbitMQ,
Engineering manager,214914000.0,C#;HTML/CSS;Java;JavaScript;Python;TypeScript,BigQuery;Oracle;PostgreSQL,Amazon Web Services (AWS),React,,,Retail and Consumer Services
"Developer, full-stack",267150000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Snowflake,Microsoft Azure,Angular;ASP.NET CORE;React,,.NET (5+);RabbitMQ;React Native,Healthcare
"Developer, full-stack",59500000.0,Bash/Shell (all shells);C;Python,MySQL,,,,,
Academic researcher,81000000.0,HTML/CSS;Python;SQL,PostgreSQL,,FastAPI;Flask;React,,NumPy;Torch/PyTorch,
"Developer, back-end",246500000.0,Bash/Shell (all shells);C;C++;Groovy;HTML/CSS;Java;JavaScript,,Amazon Web Services (AWS),,,RabbitMQ;Spring Framework,
"Developer, full-stack",111000000.0,Java;JavaScript;Python,MongoDB,,Node.js;React,,,Software Development
"Developer, back-end",232900000.0,Bash/Shell (all shells);Elixir;JavaScript;TypeScript,Elasticsearch;PostgreSQL,Amazon Web Services (AWS);Fly.io,Express;Node.js;Phoenix,,,
Academic researcher,40500000.0,C++;Rust,,,,CMake;Cargo;GNU GCC,OpenGL,Higher Education
