DevType,Country,OrgSize,YearsCodePro,CompTotal,LanguageHaveWorkedWith,ToolsTechHaveWorkedWith,PlatformHaveWorkedWith,MiscTechHaveWorkedWith
,United States of America,,,,,,,
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,,17,,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;TypeScript,Docker;Homebrew;Kubernetes;npm;Vite;Webpack,Amazon Web Services (AWS);Heroku;Netlify,
Developer Experience,United Kingdom of Great Britain and Northern Ireland,,27,,C#,MSBuild,Google Cloud,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI
"Developer, full-stack",Canada,,,,C;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Docker;npm;Pip,Amazon Web Services (AWS);Fly.io;Heroku,NumPy;Pandas;Ruff;TensorFlow
"Developer, full-stack",Norway,,,,C++;HTML/CSS;JavaScript;Lua;Python;Rust,APT;Make;npm,,
Student,United States of America,,,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Rust;Swift;TypeScript,Docker;Homebrew;npm;Pip;pnpm,Cloudflare,
Academic researcher,United States of America,,7,,R,,,
Student,Uzbekistan,,,,HTML/CSS;JavaScript;TypeScript,npm;Vite;Yarn,Firebase;Netlify;Vercel,
Academic researcher,United Kingdom of Great Britain and Northern Ireland,,,,Lua,,,
"Developer, full-stack",Serbia,,11,,HTML/CSS;JavaScript;TypeScript,npm;Webpack,Amazon Web Services (AWS);Digital Ocean;Firebase;Vercel,
Project manager,United States of America,,,,JavaScript;Python;Ruby,Ansible;Docker;Kubernetes,Amazon Web Services (AWS);Google Cloud,
Developer Advocate,Poland,,25,,C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),Docker;npm;Webpack;Yarn,Cloudflare,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ;Xamarin
"Developer, back-end",United States of America,,12,,Bash/Shell (all shells);C#;JavaScript;PowerShell;VBA,Ansible;Chocolatey;Docker;Make;NuGet;Pacman;Pip;Terraform,Amazon Web Services (AWS);Google Cloud;Hetzner;VMware,
Other (please specify):,Philippines,,,,PHP;Python,Ant;APT,,
,Bulgaria,,10,,C;C++,Make,,.NET Framework (1.0 - 4.8)
"Developer, full-stack",Switzerland,,27,,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),NuGet,,.NET (5+) ;.NET Framework (1.0 - 4.8);Roslyn
Student,Canada,,,,Rust;TypeScript,npm;Vite,,
"Developer, front-end",India,,3,,HTML/CSS;JavaScript;TypeScript,Docker;npm;Vite;Yarn,Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku,React Native
"Developer, full-stack",Germany,,10,,C#;HTML/CSS;JavaScript;PHP;Python;SQL,Ansible;Chocolatey;MSBuild,Microsoft Azure,.NET (5+) 
Database administrator,United Kingdom of Great Britain and Northern Ireland,,11,,PowerShell;SQL,,Microsoft Azure,
Other (please specify):,Germany,,Less than 1 year,,Bash/Shell (all shells);HTML/CSS;PHP;Python;SQL;VBA,Homebrew;Pip,,NumPy;Opencv;Pandas
"Developer, full-stack",Germany,,11,,C#;HTML/CSS;Java;PHP;SQL,Godot;Maven (build tool),,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka
